Date,PX_LAST,PX_INVERSE
11/20/2013,6.0932,0.1641
11/19/2013,6.0925,0.1641
11/18/2013,6.0924,0.1641
11/15/2013,6.0925,0.1641
11/14/2013,6.0921,0.1641
11/13/2013,6.092,0.1641
11/12/2013,6.0933,0.1641
11/11/2013,6.0912,0.1642
11/8/2013,6.091,0.1642
11/7/2013,6.0916,0.1642
11/6/2013,6.0932,0.1641
11/5/2013,6.0978,0.164
11/4/2013,6.0992,0.164
11/1/2013,6.0996,0.1639
10/31/2013,6.0942,0.1641
10/30/2013,6.0935,0.1641
10/29/2013,6.087,0.1643
10/28/2013,6.0854,0.1643
10/25/2013,6.0835,0.1644
10/24/2013,6.0819,0.1644
10/23/2013,6.084,0.1644
10/22/2013,6.0927,0.1641
10/21/2013,6.0925,0.1641
10/18/2013,6.0972,0.164
10/17/2013,6.097,0.164
10/16/2013,6.1037,0.1638
10/15/2013,6.1026,0.1639
10/14/2013,6.1087,0.1637
10/11/2013,6.1185,0.1634
10/10/2013,6.1195,0.1634
10/9/2013,6.1199,0.1634
10/8/2013,6.1195,0.1634
9/30/2013,6.1191,0.1634
9/27/2013,6.1198,0.1634
9/26/2013,6.1195,0.1634
9/25/2013,6.1204,0.1634
9/24/2013,6.12,0.1634
9/23/2013,6.1198,0.1634
9/18/2013,6.1207,0.1634
9/17/2013,6.1213,0.1634
9/16/2013,6.1204,0.1634
9/13/2013,6.118,0.1635
9/12/2013,6.1186,0.1634
9/11/2013,6.12,0.1634
9/10/2013,6.1205,0.1634
9/9/2013,6.1211,0.1634
9/6/2013,6.12,0.1634
9/5/2013,6.12,0.1634
9/4/2013,6.119,0.1634
9/3/2013,6.1199,0.1634
9/2/2013,6.1178,0.1635
8/30/2013,6.12,0.1634
8/29/2013,6.121,0.1634
8/28/2013,6.1216,0.1634
8/27/2013,6.1209,0.1634
8/26/2013,6.1204,0.1634
8/23/2013,6.1212,0.1634
8/22/2013,6.1235,0.1633
8/21/2013,6.1247,0.1633
8/20/2013,6.1248,0.1633
8/19/2013,6.1221,0.1633
8/16/2013,6.1125,0.1636
8/15/2013,6.113,0.1636
8/14/2013,6.1235,0.1633
8/13/2013,6.123,0.1633
8/12/2013,6.122,0.1633
8/9/2013,6.1207,0.1634
8/8/2013,6.1205,0.1634
8/7/2013,6.1234,0.1633
8/6/2013,6.1226,0.1633
8/5/2013,6.1251,0.1633
8/2/2013,6.13,0.1631
8/1/2013,6.129,0.1632
7/31/2013,6.1302,0.1631
7/30/2013,6.13,0.1631
7/29/2013,6.133,0.1631
7/26/2013,6.136,0.163
7/25/2013,6.136,0.163
7/24/2013,6.1372,0.1629
7/23/2013,6.1375,0.1629
7/22/2013,6.1397,0.1629
7/19/2013,6.1381,0.1629
7/18/2013,6.141,0.1628
7/17/2013,6.135,0.163
7/16/2013,6.1341,0.163
7/15/2013,6.1378,0.1629
7/12/2013,6.1404,0.1629
7/11/2013,6.1274,0.1632
7/10/2013,6.136,0.163
7/9/2013,6.13,0.1631
